Question,Answer,Role
How can I create a new Opportunity in Sales Cloud?,"1. Navigate to the ""Opportunities"" tab.2. Click ""New Opportunity.""3. Fill in the necessary fields like Opportunity Name and Close Date.4. Click ""Save.""",End-User
How do I track the sales stage of an Opportunity?,"1. Open the Opportunity record.2. Find the ""Stage"" field.3. Select the appropriate sales stage.4. Save the changes.",End-User
 How do I link Contacts to Opportunities in Sales Cloud?,"1. Open the Opportunity record.2. Scroll to the ""Contact Roles"" section.3. Click ""Add Contact Role.""4. Select a Contact and role, then save.",End-User
How can I forecast my sales in Sales Cloud?,"1. Go to the ""Forecast"" tab.2. Select ""Forecast Type"" (e.g., Opportunity).3. Choose the period (monthly, quarterly) and view the forecast.4. Adjust for accuracy.",End-User
How do I create a quote from an Opportunity?,"1. Open the Opportunity record.2. In the ""Quotes"" related list, click ""New Quote.""3. Fill in the necessary details and click ""Save.""",End-User
How do I convert a lead into an Opportunity?,"1. Go to the ""Leads"" tab.2. Open the Lead record.3. Click ""Convert.""4. Select to create a new Opportunity and click ""Convert.""",End-User
How do I set up sales teams in Sales Cloud?,"1. Go to Setup.2. Search for ""Sales Teams.""3. Select a record (Opportunity, Account).4. Add members to the team and save.",Sales Admin
 How do I customize Opportunity page layouts in Sales Cloud?,"1. Navigate to Setup.2. Search for ""Page Layouts"" in the Quick Find box.3. Select ""Opportunity Layouts.""4. Drag and drop fields and sections as needed.",Sales Admin
How do I enable Opportunity Splits in Sales Cloud?,"1. Go to Setup.2. Search for ""Opportunity Splits.""3. Click ""Enable Opportunity Splits.""4. Configure the percentage splits and click ""Save.""",Sales Admin
How do I set up an approval process for Opportunities?,"1. Go to Setup.2. Search for ""Approval Processes.""3. Click ""New Approval Process.""4. Define the entry criteria and actions, then save.",Sales Admin
How do I customize Sales Cloud Forecasting?,"1. Navigate to Setup.2. Search for ""Forecast Settings.""3. Select the forecast type (e.g., Opportunity).4. Adjust for your team's needs and save.",Sales Admin
How do I create an Opportunity Stage in Sales Cloud?,"1. Go to Setup.2. Search for ""Opportunity Stages.""3. Click ""New Stage.""4. Define the stage and order, then click ""Save.""",Sales Admin
How do I create a new Sales Process in Sales Cloud?,"1. Go to Setup.2. Search for ""Sales Processes.""3. Click ""New Sales Process.""4. Select the Opportunity stages and click ""Save.""",Sales Admin
How do I import data into Sales Cloud?,"1. Navigate to Setup.2. Search for ""Data Import Wizard.""3. Select ""Standard Objects"" and choose the object to import.4. Follow the prompts to map fields and import data.",Sales Admin
How do I enable and set up Chatter in Sales Cloud?,"1. Go to Setup.2. Search for ""Chatter Settings.""3. Click ""Enable Chatter.""4. Configure the settings for groups, followers, and notifications.",Sales Admin
How do I track Opportunity competitor information?,"1. Open the Opportunity record.2. Scroll to the ""Competitors"" related list.3. Click ""New Competitor.""4. Enter competitor details and save.",End-User
 How do I use Opportunity Contact Roles?,"1. Open the Opportunity record.2. Scroll to ""Contact Roles.""3. Click ""New Contact Role.""4. Select a contact and specify their role, then save.",End-User
How do I create an Opportunity record type in Sales Cloud?,"1. Go to Setup.2. Search for ""Record Types"" in the Quick Find box.3. Select the Opportunity object.4. Create a new record type and save.",Sales Admin
How do I configure Opportunity Teams in Sales Cloud?,"1. Go to Setup.2. Search for ""Opportunity Teams"" in the Quick Find box.3. Click ""Enable Opportunity Teams.""4. Configure team members and save.",Sales Admin
 How can I manage Opportunity sharing rules in Sales Cloud?,"1. Go to Setup.2. Search for ""Sharing Settings.""3. Click ""New Sharing Rule.""4. Define the criteria and specify the level of access, then save.",Sales Admin
How can I filter Opportunities based on certain criteria?,"1. Go to the ""Opportunities"" tab.2. Click on the filter icon.3. Select the desired filter criteria (e.g., Opportunity Stage, Amount).4. Click ""Apply"" to view results.",End-User
How do I add a new Opportunity Stage?,"1. Open an Opportunity record.2. In the ""Stage"" field, select the new stage.3. Click ""Save"" to update the Opportunity.",End-User
How do I track the activities related to an Opportunity?,"1. Open the Opportunity record.2. Scroll down to the ""Activity History"" section.3. Click on the task or event to view details.",End-User
How do I log a call in Salesforce for an Opportunity?,"1. Open the Opportunity record.2. In the ""Activity History"" section, click ""Log a Call.""3. Enter the call details and click ""Save.""",End-User
How do I use the Sales Path in Opportunities?,"1. Open an Opportunity record.2. Scroll to the ""Sales Path"" section.3. Follow the steps outlined to guide you through the sales process.",End-User
